	Item(s)	UOM	Price	Availability	Qty
	Item(s)	UOM	Price	Availability	Qty
0	"Compare  Fastenal Part No. (SKU)  0826359  5"" x 7/8"" 36+ 982C 3M CUBITRON II Fiber Disc  3M PRODUCTS  ×  Compliance  Locker  Locker  Vendible Item  The item is tested and deemed vendible in the following vending machines as the EA and/or Package Quantity."	UOM  each	Price  Wholesale:  $7.52 /  each	Availability  Available Inventory	Qty  ADD TO CART
1	"Compare  Fastenal Part No. (SKU)  0826362  7"" x 7/8"" 36+ 982C 3M CUBITRON II Fiber Disc  3M PRODUCTS  ×  Compliance  Locker  Locker  Vendible Item  The item is tested and deemed vendible in the following vending machines as the EA and/or Package Quantity."	UOM  each	Price  Wholesale:  $9.04 /  each	Availability  Available Inventory	Qty  ADD TO CART
2	"Compare  Fastenal Part No. (SKU)  0812730  4-1/2"" x 7/8"" Brown 36 Grit Aluminum Oxide Blackstone® Fiber Sanding Disc  Blackstone®  ×  Compliance  Locker  Locker  Vendible Item  The item is tested and deemed vendible in the following vending machines as the EA and/or Package Quantity.  CA Prop65  WARNING: This product can expose you to chemicals including formaldehyde, which is known to the State of California to cause cancer or birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov/furntiture.com"	UOM  each	Price  Wholesale:  $1.58 /  each	Availability  Available Inventory	Qty  ADD TO CART
3	"Compare  Fastenal Part No. (SKU)  0812777  4-1/2"" x 7/8"" Red/Pink 36 Grit Ceramic Blackstone® Fiber Disc  Blackstone®  ×  Compliance  Locker  Locker  Vendible Item  The item is tested and deemed vendible in the following vending machines as the EA and/or Package Quantity.  CA Prop65  WARNING: This product can expose you to chemicals including formaldehyde, which is known to the State of California to cause cancer or birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov/furntiture.com"	UOM  each	Price  Wholesale:  $4.92 /  each	Availability  Available Inventory	Qty  ADD TO CART
4	"Compare  Fastenal Part No. (SKU)  0826357  4-1/2"" x 7/8"" 36+ 982C 3M CUBITRON II Fiber Disc  CUBITRON® II  ×  Compliance  Locker  Locker  Vendible Item  The item is tested and deemed vendible in the following vending machines as the EA and/or Package Quantity."	UOM  each	Price  Wholesale:  $7.52 /  each	Availability  Available Inventory	Qty  ADD TO CART
5	"Compare  Fastenal Part No. (SKU)  0802678  TRIM KUT 36 Grit 4-1/2"" Red Depressed Center AlumOxide Disc  GEMTEX ABRASIVES  ×  Compliance  Locker  Locker  Vendible Item  The item is tested and deemed vendible in the following vending machines as the EA and/or Package Quantity."	UOM  case of 100	Price  Wholesale:  $324.00 /  case of 100  Unit Price:  $3.24 / each	Availability  Ships from Manuf.	Qty  ADD TO CART
6	"Compare  Fastenal Part No. (SKU)  0812732  4-1/2"" x 7/8"" Brown 60 Grit Aluminum Oxide Blackstone® Fiber Sanding Disc  Blackstone®  ×  Compliance  Locker  Locker  Vendible Item  The item is tested and deemed vendible in the following vending machines as the EA and/or Package Quantity.  CA Prop65  WARNING: This product can expose you to chemicals including formaldehyde, which is known to the State of California to cause cancer or birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov/furntiture.com"	UOM  each	Price  Wholesale:  $1.19 /  each	Availability  Available Inventory	Qty  ADD TO CART
7	"Compare  Fastenal Part No. (SKU)  0812762  4-1/2"" x 7/8"" Blue 36 Grit Zirconia Blackstone® Fiber Sanding Disc  Blackstone®  ×  Compliance  Locker  Locker  Vendible Item  The item is tested and deemed vendible in the following vending machines as the EA and/or Package Quantity.  CA Prop65  WARNING: This product can expose you to chemicals including formaldehyde, which is known to the State of California to cause cancer or birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov/furntiture.com"	UOM  each	Price  Wholesale:  $1.99 /  each	Availability  Available Inventory	Qty  ADD TO CART
