Year,NA_Sales
1993,1.24
1994,4.64
1995,16.529999999999998
1996,42.55
1997,55.679999999999986
1998,85.88
1999,98.76
2000,84.46000000000004
2001,129.93000000000004
2002,178.69
2003,173.1399999999999
2004,162.54
2005,194.67999999999986
2006,151.47999999999993
2007,237.77999999999997
2008,302.8900000000003
2009,279.1799999999998
2010,246.29999999999993
2011,224.17
2012,117.64
2013,114.85000000000001
2014,115.41000000000004
2015,98.91
2016,73.12000000000003
2017,75.79999999999997
2018,65.91999999999999
2020,0.27
