Name,Genre,ESRB_Rating,Platform,Global_Sales,NA_Sales,Year
TERA,Role-Playing,M,PC,0.42,0.25,1970
Doom,Shooter,M,PC,0.04,0.04,1993
SimCity 2000,Simulation,E,PC,2.14,1.2,1993
Mega Man X2,Platform,E,SNES,0.56,0.09,1994
Sonic the Hedgehog 3,Platform,E,GEN,1.76,1.02,1994
Mortal Kombat II,Fighting,M,SNES,1.93,1.48,1994
Doom II,Shooter,M,PC,3.61,2.05,1994
Aquanaut's Holiday,Adventure,E,PS,0.02,0.01,1995
Psychic Detective,Adventure,M,PS,0.01,0.01,1995
Space Griffon VF-9,Role-Playing,E,PS,0.17,0.02,1995
Novastorm,Shooter,E,PS,0.04,0.02,1995
WWF Wrestlemania: The Arcade Game,Fighting,E,PS,0.06,0.03,1995
Mega Man 7,Platform,E,SNES,0.28,0.03,1995
Castlevania Dracula X,Platform,E,SNES,0.09,0.03,1995
Zoop,Puzzle,E,PS,0.05,0.03,1995
3D Lemmings,Puzzle,E,PS,0.06,0.03,1995
Zero Divide,Fighting,T,PS,0.06,0.03,1995
Mega Man X3,Platform,E,SNES,0.35,0.04,1995
Viewpoint,Shooter,E,PS,0.07,0.04,1995
DefCon 5,Shooter,E,PS,0.07,0.04,1995
Discworld,Adventure,T,PS,0.06,0.04,1995
You Don't Know Jack,Misc,T,PC,0.04,0.04,1995
Jumping Flash!,Platform,E,PS,0.3,0.05,1995
Shockwave Assault,Simulation,E,PS,0.09,0.05,1995
X-COM: UFO Defense,Strategy,E,PS,0.09,0.05,1995
Jupiter Strike,Shooter,E,PS,0.11,0.06,1995
Primal Rage,Fighting,T,PS,0.11,0.06,1995
Kileak: The DNA Imperative,Shooter,T,PS,0.37,0.08,1995
Agile Warrior F-111X,Simulation,T,PS,0.14,0.08,1995
FIFA Soccer 96,Sports,E,PS,0.16,0.09,1995
Off-World Interceptor Extreme,Racing,M,PS,0.17,0.09,1995
King's Field,Role-Playing,T,PS,0.16,0.09,1995
ThunderStrike 2,Simulation,E,PS,0.19,0.1,1995
Street Fighter: The Movie,Fighting,T,PS,0.17,0.1,1995
ESPN Extreme Games,Sports,E,PS,0.38,0.11,1995
PGA Tour 96,Sports,E,PS,0.24,0.13,1995
NBA JAM Tournament Edition,Sports,E,PS,0.25,0.14,1995
Final Doom,Shooter,M,PS,0.27,0.15,1995
NBA In The Zone,Sports,E,PS,0.28,0.16,1995
Virtua Fighter,Fighting,T,SAT,1.07,0.17,1995
Street Fighter Alpha: Warriors' Dreams,Fighting,T,PS,0.76,0.17,1995
Sega Rally Championship,Racing,E,SAT,1.16,0.21,1995
Theme Park,Strategy,E,PS,0.57,0.24,1995
Warhawk,Simulation,E,PS,0.46,0.25,1995
NHL FaceOff,Sports,E,PS,0.45,0.25,1995
WipEout,Racing,E,PS,0.47,0.26,1995
Bases Loaded '96: Double Header,Sports,E,PS,0.5,0.28,1995
Mortal Kombat 3,Fighting,M,PS,0.55,0.29,1995
Battle Arena Toshinden,Fighting,T,PS,1.27,0.39,1995
Doom,Shooter,M,PS,0.78,0.43,1995
Gex,Platform,E,PS,0.87,0.49,1995
Destruction Derby,Racing,E,PS,0.9,0.5,1995
Road Rash,Racing,T,PS,1.27,0.71,1995
NBA Jam Tournament Edition,Sports,E,SNES,1.01,0.87,1995
Air Combat,Simulation,E,PS,1.83,0.92,1995
NBA Jam Tournament Edition,Sports,E,GEN,1.11,0.95,1995
Tekken,Fighting,T,PS,3.24,0.95,1995
Mortal Kombat 3,Fighting,M,GEN,1.34,1.03,1995
Star Wars: Dark Forces,Shooter,T,PC,1.95,1.09,1995
Mortal Kombat 3,Fighting,M,SNES,1.53,1.19,1995
Twisted Metal,Action,T,PS,1.56,1.32,1995
Rayman,Platform,E,PS,3.03,1.54,1995
